notice_pmid,notice_doi,notice_title,notice_abstract,journal,year,publication_types,original_pmid,likely_misconduct,original_doi,original_title,container_title,retraction_abstract
40074213,10.1055/a-2557-4592,Retraction Note: Morin attenuates ferroptosis via activation of the SIRT1/p53/SLC7A11 signaling pathway to alleviate diabetic cardiomyopathy in vivo.,"The article Morin Attenuates Ferroptosis via Activation of the SIRT1/p53/SLC7A11 Signaling Pathway to Alleviate Diabetic Cardiomyopathy In Vivo, by Qingmei Wang, Xuanguo Zhang and Li Xi, published online on March 12, 2025 has been retracted by the Editor-in-Chief and the Publisher. Following an internal investigation by the Publisher, irregularities with respect to the submission and peer review were found. Consequently, the Editor-in-Chief therefore no longer has confidence in the results and conclusions presented in the article. The authors do not agree with this retraction.","Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association",2025,Journal Article; Retracted Publication,,False,10.1055/a-2557-4592,Retraction Note: Morin attenuates ferroptosis via activation of the SIRT1/p53/SLC7A11 signaling pathway to alleviate diabetic cardiomyopathy in vivo.,"Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association","The article Morin Attenuates Ferroptosis via Activation of the SIRT1/p53/SLC7A11 Signaling Pathway to Alleviate Diabetic Cardiomyopathy In Vivo, by Qingmei Wang, Xuanguo Zhang and Li Xi, published online on March 12, 2025 has been retracted by the Editor-in-Chief and the Publisher. Following an internal investigation by the Publisher, irregularities with respect to the submission and peer review were found. Consequently, the Editor-in-Chief therefore no longer has confidence in the results and conclusions presented in the article. The authors do not agree with this retraction."
40056935,10.1016/j.jhep.2025.02.043,WITHDRAWN: Letter to the editor: Several questions about the study of hypothermic oxygenated machine perfusion.,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal,Journal of hepatology,2025,Letter; Retracted Publication,,False,10.1016/j.jhep.2025.02.043,WITHDRAWN: Letter to the editor: Several questions about the study of hypothermic oxygenated machine perfusion.,Journal of hepatology,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal
40050158,10.1016/j.bbrc.2025.151516,WITHDRAWN: In vitro reconstitution of temperature-dependent phosphorylation of DEHYDRATION-RESPONSIVE ELEMENT BINDING PROTEIN2A reveals the thermal sensing ability of Arabidopsis CASEIN KINASE 1.,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.,Biochemical and biophysical research communications,2025,Journal Article; Retracted Publication,,False,10.1016/j.bbrc.2025.151516,WITHDRAWN: In vitro reconstitution of temperature-dependent phosphorylation of DEHYDRATION-RESPONSIVE ELEMENT BINDING PROTEIN2A reveals the thermal sensing ability of Arabidopsis CASEIN KINASE 1.,Biochemical and biophysical research communications,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.
40049080,10.1016/j.nedt.2025.106658,WITHDRAWN: Nursing in tune: Evaluation of the effectiveness of podcasts as an educational tool for undergraduate students - A cross-sectional study.,This article has been withdrawn: please see Elsevier Policy on Article Withdrawal (https://www.elsevier.com/about/policies/article-withdrawal). This article has been withdrawn at the request of the editor and publisher. The publisher regrets that an error occurred which led to the premature publication of this paper. This error bears no reflection on the article or its authors. The publisher apologizes to the authors and the readers for this unfortunate error.,Nurse education today,2025,Journal Article; Retracted Publication,,False,10.1016/j.nedt.2025.106658,WITHDRAWN: Nursing in tune: Evaluation of the effectiveness of podcasts as an educational tool for undergraduate students - A cross-sectional study.,Nurse education today,This article has been withdrawn: please see Elsevier Policy on Article Withdrawal (https://www.elsevier.com/about/policies/article-withdrawal). This article has been withdrawn at the request of the editor and publisher. The publisher regrets that an error occurred which led to the premature publication of this paper. This error bears no reflection on the article or its authors. The publisher apologizes to the authors and the readers for this unfortunate error.
40044562,10.1016/j.sempedsurg.2025.151472,WITHDRAWN: Surgical Strategies for Biliary Atresia in Children: A Meta-Analysis of Laparoscopic and Open Techniques.,"This article has been withdrawn at the request of the Editor. This manuscript is completing the peer review process. It will be available when the peer review is completed, and it is accepted for publication. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.",Seminars in pediatric surgery,2025,Journal Article; Retracted Publication,,False,10.1016/j.sempedsurg.2025.151472,WITHDRAWN: Surgical Strategies for Biliary Atresia in Children: A Meta-Analysis of Laparoscopic and Open Techniques.,Seminars in pediatric surgery,"This article has been withdrawn at the request of the Editor. This manuscript is completing the peer review process. It will be available when the peer review is completed, and it is accepted for publication. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal."
40032175,10.1016/j.ejphar.2025.177440,"WITHDRAWN: Effects of Deinorgestrel Treatment of Endometriosis on Ovarian Function, Inflammatory Factors, and Pregnancy Rate in Patients.",This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.,European journal of pharmacology,2025,Journal Article; Retracted Publication,,False,10.1016/j.ejphar.2025.177440,"WITHDRAWN: Effects of Deinorgestrel Treatment of Endometriosis on Ovarian Function, Inflammatory Factors, and Pregnancy Rate in Patients.",European journal of pharmacology,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.
40011161,10.1016/j.prp.2025.155839,WITHDRAWN: Is TGF-β1 And SMAD-7 Expression At Diagnosis Predictive Of Treatment Response In Patients With Low-Risk Myelodysplastic Syndrome?,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.,"Pathology, research and practice",2025,Journal Article; Retracted Publication,,False,10.1016/j.prp.2025.155839,WITHDRAWN: Is TGF-β1 And SMAD-7 Expression At Diagnosis Predictive Of Treatment Response In Patients With Low-Risk Myelodysplastic Syndrome?,"Pathology, research and practice",This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.
39985542,10.1016/j.jcyt.2023.09.004,"WITHDRAWN: Expression of concern: ""Combined 4-1BB and ICOS co-stimulation improves anti-tumor efficacy and persistence of dual anti-CD19/CD20 chimeric antigen receptor T cells"" [Cytotherapy, Volume 23, Issue 8, 2021, 715-723].",This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.,Cytotherapy,2024,Journal Article; Retraction Notice; Retracted Publication; Expression of Concern,,False,10.1016/j.jcyt.2023.09.004,"WITHDRAWN: Expression of concern: ""Combined 4-1BB and ICOS co-stimulation improves anti-tumor efficacy and persistence of dual anti-CD19/CD20 chimeric antigen receptor T cells"" [Cytotherapy, Volume 23, Issue 8, 2021, 715-723].",Cytotherapy,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.
39938857,10.1016/j.ejphar.2025.177354,WITHDRAWN: In-Depth Analysis of Mangiferin and Its Formulations for Alleviating Neurodegenerative Diseases: A Comprehensive Review.,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal,European journal of pharmacology,2025,Journal Article; Retracted Publication,,False,10.1016/j.ejphar.2025.177354,WITHDRAWN: In-Depth Analysis of Mangiferin and Its Formulations for Alleviating Neurodegenerative Diseases: A Comprehensive Review.,European journal of pharmacology,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal
39894433,10.1016/j.ejphar.2025.177321,WITHDRAWN: Editorial: Research and development of new treatments for hypertension.,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, http://dx.doi.org/10.1016/j.ejphar.2025.177321. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.",European journal of pharmacology,2025,Journal Article; Retracted Publication,,False,10.1016/j.ejphar.2025.177321,WITHDRAWN: Editorial: Research and development of new treatments for hypertension.,European journal of pharmacology,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, http://dx.doi.org/10.1016/j.ejphar.2025.177321. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal."
39890007,10.1016/j.cryobiol.2025.105206,"Withdrawn : Application of a single ""Universal warming protocol"" for vitrified donor oocytes: A multicenter study.","Author wanted to withdraw the paper as they are not interested in having it published in the journal Cryobiology. Approved by EIC and Publisher. As S5 was not published in SD, so we have proceeded with expiring the article from the production system",Cryobiology,2025,Journal Article; Retracted Publication,,False,10.1016/j.cryobiol.2025.105206,"Withdrawn : Application of a single ""Universal warming protocol"" for vitrified donor oocytes: A multicenter study.",Cryobiology,"Author wanted to withdraw the paper as they are not interested in having it published in the journal Cryobiology. Approved by EIC and Publisher. As S5 was not published in SD, so we have proceeded with expiring the article from the production system"
39788432,10.1016/j.arr.2025.102656,WITHDRAWN: Biomarker Detection and Therapy of Parkinson's and Alzheimer's disease using upconversion based approach: A Comprehensive Review.,This article has been withdrawn at the request of the author(s). The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.,Ageing research reviews,2025,Journal Article; Retracted Publication,,False,10.1016/j.arr.2025.102656,WITHDRAWN: Biomarker Detection and Therapy of Parkinson's and Alzheimer's disease using upconversion based approach: A Comprehensive Review.,Ageing research reviews,This article has been withdrawn at the request of the author(s). The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.
39743115,10.1016/j.ijbiomac.2024.139326,WITHDRAWN: Intense and vibrant color construction and functionalization for protein macromolecule/polyamide two-component fabric by sustainable microbial nano prodigiosins based on adjustable pigment allocation.,This article has been withdrawn: please see Elsevier Policy on Article Withdrawal (https://www.elsevier.com/about/policies/article-withdrawal). This article has been withdrawn at the request of the editor and publisher. The publisher regrets that an error occurred which led to the premature publication of this paper. This error bears no reflection on the article or its authors. The publisher apologizes to the authors and the readers for this unfortunate error.,International journal of biological macromolecules,2025,Journal Article; Retracted Publication,,False,10.1016/j.ijbiomac.2024.139326,WITHDRAWN: Intense and vibrant color construction and functionalization for protein macromolecule/polyamide two-component fabric by sustainable microbial nano prodigiosins based on adjustable pigment allocation.,International journal of biological macromolecules,This article has been withdrawn: please see Elsevier Policy on Article Withdrawal (https://www.elsevier.com/about/policies/article-withdrawal). This article has been withdrawn at the request of the editor and publisher. The publisher regrets that an error occurred which led to the premature publication of this paper. This error bears no reflection on the article or its authors. The publisher apologizes to the authors and the readers for this unfortunate error.
39719243,10.1016/j.bbabio.2024.149534,WITHDRAWN: There is often - But not always - An alternative!,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, https://doi.org/10.1016/j.bbabio.2024.149534. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.",Biochimica et biophysica acta. Bioenergetics,2024,Journal Article; Retracted Publication,,False,10.1016/j.bbabio.2024.149534,WITHDRAWN: There is often - But not always - An alternative!,Biochimica et biophysica acta. Bioenergetics,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, https://doi.org/10.1016/j.bbabio.2024.149534. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal."
39706391,10.1016/j.cpcardiol.2024.102976,"WITHDRAWN: Myocardial Fibrosis in Diabetic Cardiomyopathy: Mechanisms, Implications, and Therapeutic Perspectives.",This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal,Current problems in cardiology,2024,Journal Article; Review; Retracted Publication,,False,10.1016/j.cpcardiol.2024.102976,"WITHDRAWN: Myocardial Fibrosis in Diabetic Cardiomyopathy: Mechanisms, Implications, and Therapeutic Perspectives.",Current problems in cardiology,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal
