k_i,TP_i,FP_i,FN_i,precision_i,recall_i,perfect_i,n_predictions,paper_id,condition,title,paper_category,verdict,n_annotations_text,n_annotations_total,rw_count
2,1,12,1,0.07692307692307693,0.5,0,13,2407.02110v2,B2,On the uniqueness of the strictly convex quadrilateral central configuration with a fixed angle,Physics,flagged,2,2,3.0
2,1,7,1,0.125,0.5,0,8,2407.02110v2,B3,On the uniqueness of the strictly convex quadrilateral central configuration with a fixed angle,Physics,flagged,2,2,4.0
2,1,12,1,0.07692307692307693,0.5,0,13,2407.02110v2,GD,On the uniqueness of the strictly convex quadrilateral central configuration with a fixed angle,Physics,flagged,2,2,4.0
1,0,22,1,0.0,0.0,0,22,2407.04410v3,B1,On the Existence of an Extremal Function for the Delsarte Extremal Problem,Mathematics,flagged,1,1,
1,0,8,1,0.0,0.0,0,8,2407.04410v3,B2,On the Existence of an Extremal Function for the Delsarte Extremal Problem,Mathematics,flagged,1,1,1.0
1,1,4,0,0.2,1.0,0,5,2407.04410v3,B3,On the Existence of an Extremal Function for the Delsarte Extremal Problem,Mathematics,flagged,1,1,1.0
1,1,6,0,0.14285714285714285,1.0,0,7,2407.04410v3,GD,On the Existence of an Extremal Function for the Delsarte Extremal Problem,Mathematics,flagged,1,1,0.0
1,0,28,1,0.0,0.0,0,28,2407.06913v2,B1,"A Simple, Nearly-Optimal Algorithm for Differentially Private All-Pairs Shortest Distances",Computer Science,flagged,1,1,
1,0,13,1,0.0,0.0,0,13,2407.06913v2,B2,"A Simple, Nearly-Optimal Algorithm for Differentially Private All-Pairs Shortest Distances",Computer Science,flagged,1,1,3.0
1,0,11,1,0.0,0.0,0,11,2407.06913v2,B3,"A Simple, Nearly-Optimal Algorithm for Differentially Private All-Pairs Shortest Distances",Computer Science,flagged,1,1,3.0
1,0,11,1,0.0,0.0,0,11,2407.06913v2,GD,"A Simple, Nearly-Optimal Algorithm for Differentially Private All-Pairs Shortest Distances",Computer Science,flagged,1,1,0.0
1,0,21,1,0.0,0.0,0,21,2407.09178v2,B1,Shafarevich-Tate groups of holomorphic Lagrangian fibrations II,Mathematics,flagged,1,1,
1,0,13,1,0.0,0.0,0,13,2407.09178v2,B2,Shafarevich-Tate groups of holomorphic Lagrangian fibrations II,Mathematics,flagged,1,1,4.0
1,0,11,1,0.0,0.0,0,11,2407.09178v2,B3,Shafarevich-Tate groups of holomorphic Lagrangian fibrations II,Mathematics,flagged,1,1,0.0
1,0,11,1,0.0,0.0,0,11,2407.09178v2,GD,Shafarevich-Tate groups of holomorphic Lagrangian fibrations II,Mathematics,flagged,1,1,3.0
1,0,19,1,0.0,0.0,0,19,2407.12022v2,B1,ITERTL: An Iterative Framework for Fine-tuning LLMs for RTL Code Generation,Computer Science,flagged,1,1,
1,0,11,1,0.0,0.0,0,11,2407.12022v2,B2,ITERTL: An Iterative Framework for Fine-tuning LLMs for RTL Code Generation,Computer Science,flagged,1,1,1.0
1,0,12,1,0.0,0.0,0,12,2407.12022v2,B3,ITERTL: An Iterative Framework for Fine-tuning LLMs for RTL Code Generation,Computer Science,flagged,1,1,0.0
1,0,14,1,0.0,0.0,0,14,2407.12022v2,GD,ITERTL: An Iterative Framework for Fine-tuning LLMs for RTL Code Generation,Computer Science,flagged,1,1,0.0
1,1,21,0,0.045454545454545456,1.0,0,22,2407.18406v2,B1,A form of refined Roth's theorem and its application to the $abc$-conjecture,Mathematics,flagged,1,1,
1,1,11,0,0.08333333333333333,1.0,0,12,2407.18406v2,B2,A form of refined Roth's theorem and its application to the $abc$-conjecture,Mathematics,flagged,1,1,6.0
1,1,8,0,0.1111111111111111,1.0,0,9,2407.18406v2,B3,A form of refined Roth's theorem and its application to the $abc$-conjecture,Mathematics,flagged,1,1,5.0
1,1,7,0,0.125,1.0,0,8,2407.18406v2,GD,A form of refined Roth's theorem and its application to the $abc$-conjecture,Mathematics,flagged,1,1,4.0
1,1,20,0,0.047619047619047616,1.0,0,21,2407.19061v3,B1,A Relationship Between Nonphysical Quasi-probabilities and Nonlocality Objectivity,Physics,flagged,1,1,
1,1,7,0,0.125,1.0,0,8,2407.19061v3,B2,A Relationship Between Nonphysical Quasi-probabilities and Nonlocality Objectivity,Physics,flagged,1,1,4.0
1,1,8,0,0.1111111111111111,1.0,0,9,2407.19061v3,B3,A Relationship Between Nonphysical Quasi-probabilities and Nonlocality Objectivity,Physics,flagged,1,1,4.0
1,1,10,0,0.09090909090909091,1.0,0,11,2407.19061v3,GD,A Relationship Between Nonphysical Quasi-probabilities and Nonlocality Objectivity,Physics,flagged,1,1,1.0
1,0,25,1,0.0,0.0,0,25,2407.19323v3,B1,MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,flagged,1,1,
1,0,13,1,0.0,0.0,0,13,2407.19323v3,B2,MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,flagged,1,1,0.0
1,0,8,1,0.0,0.0,0,8,2407.19323v3,B3,MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,flagged,1,1,2.0
1,0,10,1,0.0,0.0,0,10,2407.19323v3,GD,MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,flagged,1,1,2.0
1,0,15,1,0.0,0.0,0,15,2408.04316v2,B1,Explicit expression and fast algorithms for the inverse of some matrices arising from implicit time integration,Mathematics,not_flagged,1,1,
1,1,8,0,0.1111111111111111,1.0,0,9,2408.04316v2,B2,Explicit expression and fast algorithms for the inverse of some matrices arising from implicit time integration,Mathematics,flagged,1,1,0.0
1,0,10,1,0.0,0.0,0,10,2408.04316v2,B3,Explicit expression and fast algorithms for the inverse of some matrices arising from implicit time integration,Mathematics,flagged,1,1,0.0
1,1,7,0,0.125,1.0,0,8,2408.04316v2,GD,Explicit expression and fast algorithms for the inverse of some matrices arising from implicit time integration,Mathematics,flagged,1,1,0.0
1,0,19,1,0.0,0.0,0,19,2408.16162v2,B1,Every Polish group has a non-trivial topological group automorphism,Mathematics,flagged,1,1,
1,0,6,1,0.0,0.0,0,6,2408.16162v2,B2,Every Polish group has a non-trivial topological group automorphism,Mathematics,flagged,1,1,1.0
1,0,7,1,0.0,0.0,0,7,2408.16162v2,B3,Every Polish group has a non-trivial topological group automorphism,Mathematics,flagged,1,1,4.0
1,0,8,1,0.0,0.0,0,8,2408.16162v2,GD,Every Polish group has a non-trivial topological group automorphism,Mathematics,flagged,1,1,1.0
1,0,25,1,0.0,0.0,0,25,2409.01021v2,B1,CONDA: Condensed Deep Association Learning for Co-Salient Object Detection,Computer Science,not_flagged,1,1,
1,0,10,1,0.0,0.0,0,10,2409.01021v2,B2,CONDA: Condensed Deep Association Learning for Co-Salient Object Detection,Computer Science,flagged,1,1,0.0
1,0,8,1,0.0,0.0,0,8,2409.01021v2,B3,CONDA: Condensed Deep Association Learning for Co-Salient Object Detection,Computer Science,flagged,1,1,0.0
1,0,11,1,0.0,0.0,0,11,2409.01021v2,GD,CONDA: Condensed Deep Association Learning for Co-Salient Object Detection,Computer Science,flagged,1,1,0.0
